Christopher, Moran, ,,,,,,
Wrap:,TRUE,,,,,,,
K(states):,5,,,,,,,
Radius:,1,,,,,,,
Quiescence:,TRUE,,,,,,,
random seed:,-6.69E+18,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment #:,0,,,,,,,
Rule:,2.43E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,2.036841662,2.23739741,0,noisy
1,1,2,0.968,0.846153846,2.115245135,2.295465679,0,noisy
2,6,2,0.816,0.769230769,2.27110898,2.295465679,0,small holes
3,12,2,0.808,0.692307692,2.275201425,2.257756064,0,ditto
4,7,2,0.664,0.615384615,2.206588747,2.133937566,0,larger holes
5,11,2,0.64,0.538461538,2.193133469,2.045841641,0,ditto
6,3,2,0.56,0.461538462,2.102780612,1.88109476,0,"even larger holes, but still class 3"
7,4,0,0.44,0.384615385,1.828011523,1.700439718,0,solid bar
8,9,0,0.36,0.307692308,1.602297832,1.505876256,0,solid bar
9,8,0,0.24,0.230769231,1.124068422,1.145110414,0,solid bar
10,2,0,0.192,0.153846154,0.861402006,0.773228349,0,solid bar
11,5,0,0.048,0.076923077,0.277839574,0.391243564,0,solid bar
12,10,0,0,0,0,0,0,solid bar
,,,,,,,,
,,,,,,,,
Experiment #:,1,,,,,,,
Rule:,4.11E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.915608227,2.038159682,0,noisy
1,6,0,0.84,0.846153846,2.217048423,2.16197818,0,solid bar
2,11,0,0.816,0.769230769,2.220132792,2.199687795,0,solid bar
3,9,0,0.736,0.692307692,2.258678181,2.199687795,0,"solid bar with streak, class 2"
4,2,2,0.688,0.615384615,2.248295126,2.133937566,0,noise
5,10,2,0.64,0.538461538,2.18935596,1.987773371,0,noise
6,1,0,0.616,0.461538462,2.160972457,1.88109476,0,solid bar
7,12,0,0.608,0.384615385,2.14984758,1.700439718,0,solid bar
8,4,0,0.488,0.307692308,1.74764071,1.352030102,0,solid bar
9,7,0,0.344,0.230769231,1.249555796,0.991264261,0,solid bar
10,8,0,0.224,0.153846154,0.767404417,0.619382195,0,solid bar
11,5,0,0.08,0.076923077,0.40217919,0.391243564,0,solid bar
12,3,0,0,0,0,0,0,solid bar
,,,,,,,,
,,,,,,,,
Experiment #:,2,,,,,,,
Rule:,4.31E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.786540787,2.075869297,0,mid size holes
1,6,2,0.84,0.846153846,2.036561288,2.133937566,0,noise
2,3,2,0.76,0.769230769,2.114807511,2.199687795,0,noise
3,5,2,0.616,0.692307692,1.946656754,2.16197818,0,noise
4,9,2,0.536,0.615384615,1.91110921,2.133937566,0,small holes
5,12,2,0.528,0.538461538,1.904674718,2.045841641,0,small holes
6,10,2,0.48,0.461538462,1.739846474,1.88109476,0,mid size holes
7,8,2,0.36,0.384615385,1.556694603,1.700439718,0,mid size holes
8,1,2,0.336,0.307692308,1.501344731,1.505876256,0,mid size holes
9,11,2,0.312,0.230769231,1.351139862,1.145110414,0,mid size holes
10,7,2,0.168,0.153846154,0.798113368,0.773228349,0,mid size holes
11,4,0,0.048,0.076923077,0.277839574,0.391243564,0,solid bar
12,2,0,0,0,0,0,0,solid bar
,,,,,,,,
,,,,,,,,
Experiment #:,3,,,,,,,
Rule:,2.43E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,0,0.992,0.923076923,1.403561791,1.914341184,0,solid bar
1,4,0,0.872,0.846153846,1.700087199,2.038159682,0,solid bar
2,2,0,0.824,0.769230769,1.551305434,1.826245258,0,solid bar
3,12,0,0.816,0.692307692,1.555189314,1.826245258,0,solid bar
4,8,0,0.696,0.615384615,1.675096263,1.826245258,0,solid bar
5,3,0,0.616,0.538461538,1.616571985,1.738149333,0,solid bar
6,7,0,0.472,0.461538462,1.562196518,1.669180337,0,solid bar
7,10,0,0.424,0.384615385,1.508907466,1.546593564,0,solid bar
8,9,0,0.344,0.307692308,1.373596761,1.352030102,0,solid bar
9,5,0,0.2,0.230769231,0.928936151,1.145110414,0,solid bar
10,1,0,0.176,0.153846154,0.772383768,0.773228349,0,solid bar
11,6,0,0.024,0.076923077,0.163345543,0.391243564,0,solid bar
12,11,0,0,0,0,0,0,solid bar
,,,,,,,,
,,,,,,,,
Experiment #:,4,,,,,,,
Rule:,3.43E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.808837176,2.16197818,0,small holes
1,6,2,0.84,0.846153846,2.18638637,2.257756064,0,noise
2,10,2,0.792,0.769230769,2.217528849,2.257756064,0,noise
3,7,2,0.648,0.692307692,2.136393557,2.16197818,0,noise
4,9,2,0.568,0.615384615,1.959923885,2.038159682,0,mid size holes
5,3,1,0.488,0.538461538,1.720841917,1.891995487,0,irregular holes
6,4,0,0.368,0.461538462,1.277679356,1.573402452,0,solid bar
7,1,0,0.344,0.384615385,1.129153773,1.238901257,0,solid bar
8,11,0,0.32,0.307692308,1.099530355,1.140115679,0,solid bar
9,8,0,0.2,0.230769231,0.880936151,0.991264261,0,solid bar
10,5,0,0.056,0.153846154,0.344491046,0.773228349,0,solid bar
11,2,0,0.008,0.076923077,0.067221545,0.391243564,0,solid bar
12,12,0,0,0,0,0,0,solid bar
,,,,,,,,
,,,,,,,,
Experiment #:,5,,,,,,,
Rule:,4.41E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,2,0.992,0.923076923,1.91324562,2.038159682,0,noise
1,5,2,0.848,0.846153846,2.192502296,2.133937566,0,strange
2,6,2,0.696,0.769230769,2.25449522,2.199687795,0,noise
3,9,2,0.616,0.692307692,2.152729253,2.16197818,0,noise
4,8,2,0.496,0.615384615,1.898636898,2.038159682,0,noise
5,1,1,0.472,0.538461538,1.867822149,1.987773371,0,very large holes
6,12,1,0.464,0.461538462,1.856296876,1.88109476,0,large holes
7,3,0,0.384,0.384615385,1.594186804,1.700439718,0,solid bar
8,2,0,0.336,0.307692308,1.501344731,1.505876256,0,solid bar
